code_departement,nb_inscrits_2017,nb_abstentions_2017,pct_absetention_2017,nb_votants_2017,candidat_gagnant_2017,population_departement_2017,taux_pauvrete_2017,niveau_median_mois_2017,nb_chomeurs_2017,pct_chomeurs_2017,nb_agriculteurs_2017,pct_agriculteurs_2017,nb_ouvriers_2017,pct_ouvriers_2017,nb_artisans_2017,pct_artisans_2017,nb_employes_2017,pct_employes_2017,nb_professions_intermediaires_2017,pct_professions_intermediaires_2017,nb_cadres_2017,pct_cades_2017,pct_contravention_2017,nb_contravention_2017,pct_delit_2017,nb_delit_2017,pct_crime_2017,nb_crime_2017
1,415886,81507,19.6,334379,LE PEN,643350,10.5,1887,33090,5.18,3426,0.54,79201,12.41,19613,3.07,84785,13.28,81345,12.74,44467,6.97,1.75,11286,1.74,8508,0.12,758
3,253508,54275,21.41,199233,MACRON,337988,15.4,1646,"20,600.00",6.07,5471,1.61,38110,11.23,10128,2.98,46571,13.72,31879,9.39,12726,3.75,2.03,6849,1.54,4459,0.13,455
7,249258,46618,18.7,202640,LE PEN,325712,14.3,1679,"20,294.00",6.24,3845,1.18,36334,11.17,12292,3.78,41350,12.72,35559,10.94,14248,4.38,1.87,6084,1.34,3777,0.1,314
15,117425,22767,19.39,94658,MACRON,145143,13.2,1657,"5,801.00",3.97,6130,4.2,16210,11.11,4878,3.34,19829,13.58,13344,9.14,4957,3.4,1.32,1915,0.94,1259,0.11,153
26,369489,73210,19.81,296279,LE PEN,511553,14.7,1703,"33,121.00",6.52,5431,1.07,55933,11.01,18025,3.55,63165,12.43,58009,11.42,28874,5.68,2.68,13687,2.23,9259,0.15,748
38,856366,178004,20.79,678362,MACRON,1258722,11.2,1855,"69,308.00",5.53,5031,0.4,123720,9.87,37846,3.02,155709,12.43,161305,12.87,109542,8.74,2.82,35548,2.46,23939,0.14,1782
42,510809,108838,21.31,401971,LE PEN,762941,14.7,1685,"45,922.00",6.03,4828,0.63,95226,12.5,22301,2.93,95226,12.5,82937,10.88,38228,5.02,2.48,18949,1.94,12061,0.12,944
43,177158,32875,18.56,144283,MACRON,227283,12.1,1678,"11,007.00",4.84,4507,1.98,27845,12.25,8260,3.63,29379,12.92,24383,10.73,8785,3.86,1.47,3331,1.12,2166,0.12,283
63,460939,93363,20.25,367576,MACRON,653742,12.7,1778,"36,372.00",5.59,5960,0.92,68620,10.55,18832,2.89,87501,13.45,73745,11.33,45015,6.92,2.45,16034,1.91,10206,0.12,765
69,1155604,249073,21.55,906531,MACRON,1843319,13.8,1868,"112,061.00",6.1,5241,0.29,150089,8.18,51327,2.8,228954,12.47,241362,13.15,196574,10.71,4.26,78548,2.82,42145,0.16,3005
73,310237,62746,20.23,247491,MACRON,431174,9.8,1872,"19,601.00",4.56,2165,0.5,45438,10.57,16375,3.81,58154,13.53,57786,13.45,27430,6.38,2.83,12189,1.47,5959,0.14,625
74,540033,116275,21.53,423758,FILLON,807360,9.1,2142,"41,918.00",5.23,2977,0.37,91547,11.42,30370,3.79,115008,14.35,113311,14.14,60761,7.58,2.43,19642,1.7,11499,0.21,1691
